 airport_code |     airport_name     |           city           |               coordinates               |      timezone      
--------------+----------------------+--------------------------+-----------------------------------------+--------------------
 YKS          | Якутск               | Якутск                   | (129.77099609375,62.093299865722656)    | Asia/Yakutsk
 MJZ          | Мирный               | Мирный                   | (114.03900146484375,62.534698486328125) | Asia/Yakutsk
 KHV          | Хабаровск-Новый      | Хабаровск                | (135.18800354004,48.52799987793)        | Asia/Vladivostok
 PKC          | Елизово              | Петропавловск-Камчатский | (158.45399475097656,53.16790008544922)  | Asia/Kamchatka
 UUS          | Хомутово             | Южно-Сахалинск           | (142.71800231933594,46.88869857788086)  | Asia/Sakhalin
 VVO          | Владивосток          | Владивосток              | (132.1479949951172,43.39899826049805)   | Asia/Vladivostok
 LED          | Пулково              | Санкт-Петербург          | (30.262500762939453,59.80030059814453)  | Europe/Moscow
 KGD          | Храброво             | Калининград              | (20.592599868774414,54.88999938964844)  | Europe/Kaliningrad
 KEJ          | Кемерово             | Кемерово                 | (86.1072006225586,55.27009963989258)    | Asia/Novokuznetsk
 CEK          | Челябинск            | Челябинск                | (61.5033,55.305801)                     | Asia/Yekaterinburg
 MQF          | Магнитогорск         | Магнитогорск             | (58.755699157714844,53.39310073852539)  | Asia/Yekaterinburg
 PEE          | Пермь                | Пермь                    | (56.021198272705,57.914501190186)       | Asia/Yekaterinburg
 SGC          | Сургут               | Сургут                   | (73.40180206298828,61.34370040893555)   | Asia/Yekaterinburg
 BZK          | Брянск               | Брянск                   | (34.176399231,53.214199066199996)       | Europe/Moscow
 MRV          | Минеральные Воды     | Минеральные Воды         | (43.08190155029297,44.225101470947266)  | Europe/Moscow
 STW          | Ставрополь           | Ставрополь               | (42.11280059814453,45.10919952392578)   | Europe/Moscow
 ASF          | Астрахань            | Астрахань                | (48.0063018799,46.2832984924)           | Europe/Samara
 NJC          | Нижневартовск        | Нижневартовск            | (76.48359680175781,60.94929885864258)   | Asia/Yekaterinburg
 SVX          | Кольцово             | Екатеринбург             | (60.802700042725,56.743099212646)       | Asia/Yekaterinburg
 SVO          | Шереметьево          | Москва                   | (37.4146,55.972599)                     | Europe/Moscow
 VOZ          | Воронеж              | Воронеж                  | (39.22959899902344,51.81420135498047)   | Europe/Moscow
 VKO          | Внуково              | Москва                   | (37.2615013123,55.5914993286)           | Europe/Moscow
 SCW          | Сыктывкар            | Сыктывкар                | (50.84510040283203,61.64699935913086)   | Europe/Moscow
 KUF          | Курумоч              | Самара                   | (50.16429901123,53.504901885986)        | Europe/Samara
 DME          | Домодедово           | Москва                   | (37.90629959106445,55.40879821777344)   | Europe/Moscow
 TJM          | Рощино               | Тюмень                   | (65.3243026733,57.189601898199996)      | Asia/Yekaterinburg
 GOJ          | Стригино             | Нижний Новгород          | (43.784000396729,56.230098724365)       | Europe/Moscow
 TOF          | Богашёво             | Томск                    | (85.208297729492,56.380298614502)       | Asia/Krasnoyarsk
 UIK          | Усть-Илимск          | Усть-Илимск              | (102.56500244140625,58.13610076904297)  | Asia/Irkutsk
 NSK          | Норильск             | Норильск                 | (87.33219909667969,69.31109619140625)   | Asia/Krasnoyarsk
 ARH          | Талаги               | Архангельск              | (40.71670150756836,64.60030364990234)   | Europe/Moscow
 RTW          | Саратов-Центральный  | Саратов                  | (46.04669952392578,51.564998626708984)  | Europe/Volgograd
 NUX          | Новый Уренгой        | Новый Уренгой            | (76.52030181884766,66.06939697265625)   | Asia/Yekaterinburg
 NOJ          | Ноябрьск             | Ноябрьск                 | (75.2699966430664,63.18330001831055)    | Asia/Yekaterinburg
 UCT          | Ухта                 | Ухта                     | (53.8046989440918,63.566898345947266)   | Europe/Moscow
 USK          | Усинск               | Усинск                   | (57.3671989440918,66.00469970703125)    | Europe/Moscow
 NNM          | Нарьян-Мар           | Нарьян-Мар               | (53.12189865112305,67.63999938964844)   | Europe/Moscow
 PKV          | Псков                | Псков                    | (28.395599365234375,57.78390121459961)  | Europe/Moscow
 KGP          | Когалым              | Когалым                  | (74.53379821777344,62.190399169921875)  | Asia/Yekaterinburg
 KJA          | Емельяново           | Красноярск               | (92.493301391602,56.172901153564)       | Asia/Krasnoyarsk
 URJ          | Петрозаводск         | Урай                     | (64.82669830322266,60.10329818725586)   | Asia/Yekaterinburg
 IWA          | Иваново-Южный        | Иваново                  | (40.940799713134766,56.93939971923828)  | Europe/Moscow
 PYJ          | Полярный             | Удачный                  | (112.029998779,66.4003982544)           | Asia/Yakutsk
 KXK          | Хурба                | Комсомольск-на-Амуре     | (136.9340057373047,50.409000396728516)  | Asia/Vladivostok
